p,y,exposure,pay_1,limit_bal,util_1,decile,risk_band,predicted_loss
0.015498,0,78331,0,510000,0.1536,1,0-5%,1213.973838
0.018451,1,135437,0,260000,0.5209,1,0-5%,2498.9480869999998
0.018646,0,12178,-2,150000,0.0812,1,0-5%,227.070988
0.019432,0,34669,0,560000,0.0619,1,0-5%,673.6880080000001
0.019931,0,55241,0,380000,0.1454,1,0-5%,1101.0083710000001
0.020015,0,105582,0,420000,0.2514,1,0-5%,2113.22373
0.020472,1,45106,-2,500000,0.0902,1,0-5%,923.410032
0.020566,0,105286,-2,480000,0.2193,1,0-5%,2165.311876
0.020693,0,146124,0,520000,0.281,1,0-5%,3023.743932
0.020768,0,25079,-1,380000,0.066,1,0-5%,520.8406719999999
0.02085,0,18768,0,330000,0.0569,1,0-5%,391.3128
0.021397,0,44734,0,230000,0.1945,1,0-5%,957.173398
0.021567,0,65354,0,390000,0.1676,1,0-5%,1409.489718
0.021889,0,149545,0,230000,0.6502,1,0-5%,3273.390505
0.022466,0,22443,-2,300000,0.0748,1,0-5%,504.204438
0.022503,0,85292,0,340000,0.2509,1,0-5%,1919.3258759999999
0.023064,0,76996,-1,260000,0.2961,1,0-5%,1775.835744
0.023271,0,20641,-1,500000,0.0413,1,0-5%,480.336711
0.023287,0,31400,-1,620000,0.0506,1,0-5%,731.2117999999999
0.023367,0,78928,0,290000,0.2722,1,0-5%,1844.3105759999999
0.023416,0,58308,0,490000,0.119,1,0-5%,1365.340128
0.023456,0,42189,-1,300000,0.1406,1,0-5%,989.585184
0.023544,0,121603,0,300000,0.4053,1,0-5%,2863.0210319999996
0.023766,0,172041,-1,500000,0.3441,1,0-5%,4088.7264059999998
0.023774,0,85107,0,210000,0.4053,1,0-5%,2023.333818
0.023827,0,206766,0,500000,0.4135,1,0-5%,4926.613482
0.02419,0,12818,-1,450000,0.0285,1,0-5%,310.06741999999997
0.024205,0,37096,0,380000,0.0976,1,0-5%,897.90868
0.024254,0,73214,0,330000,0.2219,1,0-5%,1775.732356
0.024317,0,97832,-2,500000,0.1957,1,0-5%,2378.980744
0.024321,0,20938,-2,450000,0.0465,1,0-5%,509.233098
0.024368,0,58389,0,360000,0.1622,1,0-5%,1422.823152
0.024386,0,48938,-1,400000,0.1223,1,0-5%,1193.402068
0.024715,0,58312,-1,460000,0.1268,1,0-5%,1441.18108
0.02477,0,82735,0,410000,0.2018,1,0-5%,2049.34595
0.025039,0,25370,-2,300000,0.0846,1,0-5%,635.23943
0.025095,0,44500,-1,320000,0.1391,1,0-5%,1116.7275
0.025134,0,19543,0,500000,0.0391,1,0-5%,491.193762
0.025198,0,122838,0,300000,0.4095,1,0-5%,3095.271924
0.025326,0,17196,0,150000,0.1146,1,0-5%,435.505896
0.025578,0,19629,-2,420000,0.0467,1,0-5%,502.070562
0.025704,0,28852,-1,500000,0.0577,1,0-5%,741.611808
0.02573,0,36108,0,130000,0.2778,1,0-5%,929.05884
0.025751,0,55197,0,230000,0.24,1,0-5%,1421.377947
0.025787,0,28352,-1,500000,0.0567,1,0-5%,731.113024
0.025848,0,73215,0,250000,0.2929,1,0-5%,1892.46132
0.026019,0,33808,0,390000,0.0867,1,0-5%,879.650352
0.026049,0,33654,-1,360000,0.0935,1,0-5%,876.653046
0.026093,0,193083,0,500000,0.3862,1,0-5%,5038.114719
0.026094,0,186610,-2,500000,0.3732,1,0-5%,4869.401339999999
0.026165,0,26679,-1,280000,0.0953,1,0-5%,698.0560350000001
0.026296,0,10747,0,240000,0.0448,1,0-5%,282.603112
0.026471,0,26930,-2,400000,0.0673,1,0-5%,712.8640300000001
0.026485,0,42524,-1,360000,0.1181,1,0-5%,1126.2481400000001
0.02652,0,22921,-1,600000,0.0382,1,0-5%,607.86492
0.026707,0,56050,0,260000,0.2156,1,0-5%,1496.9273500000002
0.026888,0,41305,-1,400000,0.1033,1,0-5%,1110.6088399999999
0.026934,0,3385,-1,110000,0.0308,1,0-5%,91.17159
0.026978,0,197004,0,500000,0.394,1,0-5%,5314.773912
0.027258,0,62774,0,430000,0.146,1,0-5%,1711.0936920000001
0.027275,0,6093,-1,200000,0.0305,1,0-5%,166.186575
0.027304,0,8574,0,280000,0.0306,1,0-5%,234.10449599999998
0.027306,0,218570,-1,500000,0.4371,1,0-5%,5968.27242
0.027332,0,33647,-2,500000,0.0673,1,0-5%,919.6398039999999
0.027478,0,29906,0,310000,0.0965,1,0-5%,821.757068
0.027761,0,12451,-2,530000,0.0235,1,0-5%,345.652211
0.027899,0,48729,-1,300000,0.1624,1,0-5%,1359.490371
0.02795,0,112118,0,380000,0.295,1,0-5%,3133.6981
0.027976,0,27089,-1,310000,0.0874,1,0-5%,757.841864
0.028085,0,35211,0,260000,0.1354,1,0-5%,988.900935
0.028334,0,9083,-1,400000,0.0227,1,0-5%,257.357722
0.028389,0,38483,0,140000,0.2749,1,0-5%,1092.493887
0.028454,0,33078,0,260000,0.1272,1,0-5%,941.201412
0.028466,0,144430,-2,500000,0.2889,1,0-5%,4111.3443800000005
0.028537,0,14889,-2,400000,0.0372,1,0-5%,424.887393
