cutoff,approved,approval_rate,bad_rate,capture_rate,cum_good_exposure,cum_bad_exposure
0.0185,1,0.0002,0.0,1.0,78331.0,0.0
0.0186,2,0.0003,0.5,0.9992,78331.0,135437.0
0.0194,3,0.0005,0.3333,0.9992,90509.0,135437.0
0.0199,4,0.0007,0.25,0.9992,125178.0,135437.0
0.02,5,0.0008,0.2,0.9992,180419.0,135437.0
0.0205,6,0.001,0.1667,0.9992,286001.0,135437.0
0.0206,7,0.0012,0.2857,0.9985,286001.0,180543.0
0.0207,8,0.0013,0.25,0.9985,391287.0,180543.0
0.0208,9,0.0015,0.2222,0.9985,537411.0,180543.0
0.0209,10,0.0017,0.2,0.9985,562490.0,180543.0
0.0214,11,0.0018,0.1818,0.9985,581258.0,180543.0
0.0216,12,0.002,0.1667,0.9985,625992.0,180543.0
0.0219,13,0.0022,0.1538,0.9985,691346.0,180543.0
0.0225,14,0.0023,0.1429,0.9985,840891.0,180543.0
0.0225,15,0.0025,0.1333,0.9985,863334.0,180543.0
0.0231,16,0.0027,0.125,0.9985,948626.0,180543.0
0.0233,17,0.0028,0.1176,0.9985,1025622.0,180543.0
0.0233,18,0.003,0.1111,0.9985,1046263.0,180543.0
0.0234,19,0.0032,0.1053,0.9985,1077663.0,180543.0
0.0234,20,0.0033,0.1,0.9985,1156591.0,180543.0
0.0235,21,0.0035,0.0952,0.9985,1214899.0,180543.0
0.0235,22,0.0037,0.0909,0.9985,1257088.0,180543.0
0.0238,23,0.0038,0.087,0.9985,1378691.0,180543.0
0.0238,24,0.004,0.0833,0.9985,1550732.0,180543.0
0.0238,25,0.0042,0.08,0.9985,1635839.0,180543.0
0.0242,26,0.0043,0.0769,0.9985,1842605.0,180543.0
0.0242,27,0.0045,0.0741,0.9985,1855423.0,180543.0
0.0243,28,0.0047,0.0714,0.9985,1892519.0,180543.0
0.0243,29,0.0048,0.069,0.9985,1965733.0,180543.0
0.0243,30,0.005,0.0667,0.9985,2063565.0,180543.0
0.0244,31,0.0052,0.0645,0.9985,2084503.0,180543.0
0.0244,32,0.0053,0.0625,0.9985,2142892.0,180543.0
0.0247,33,0.0055,0.0606,0.9985,2191830.0,180543.0
0.0248,34,0.0057,0.0588,0.9985,2250142.0,180543.0
0.025,35,0.0058,0.0571,0.9985,2332877.0,180543.0
0.0251,36,0.006,0.0556,0.9985,2358247.0,180543.0
0.0251,37,0.0062,0.0541,0.9985,2402747.0,180543.0
0.0252,38,0.0063,0.0526,0.9985,2422290.0,180543.0
0.0253,39,0.0065,0.0513,0.9985,2545128.0,180543.0
0.0256,40,0.0067,0.05,0.9985,2562324.0,180543.0
0.0257,41,0.0068,0.0488,0.9985,2581953.0,180543.0
0.0257,42,0.007,0.0476,0.9985,2610805.0,180543.0
0.0258,43,0.0072,0.0465,0.9985,2646913.0,180543.0
0.0258,44,0.0073,0.0455,0.9985,2702110.0,180543.0
0.0258,45,0.0075,0.0444,0.9985,2730462.0,180543.0
0.026,46,0.0077,0.0435,0.9985,2803677.0,180543.0
0.026,47,0.0078,0.0426,0.9985,2837485.0,180543.0
0.0261,48,0.008,0.0417,0.9985,2871139.0,180543.0
0.0261,49,0.0082,0.0408,0.9985,3064222.0,180543.0
0.0262,50,0.0083,0.04,0.9985,3250832.0,180543.0
0.0263,51,0.0085,0.0392,0.9985,3277511.0,180543.0
0.0265,52,0.0087,0.0385,0.9985,3288258.0,180543.0
0.0265,53,0.0088,0.0377,0.9985,3315188.0,180543.0
0.0265,54,0.009,0.037,0.9985,3357712.0,180543.0
0.0267,55,0.0092,0.0364,0.9985,3380633.0,180543.0
0.0269,56,0.0093,0.0357,0.9985,3436683.0,180543.0
0.0269,57,0.0095,0.0351,0.9985,3477988.0,180543.0
0.027,58,0.0097,0.0345,0.9985,3481373.0,180543.0
0.0273,59,0.0098,0.0339,0.9985,3678377.0,180543.0
0.0273,60,0.01,0.0333,0.9985,3741151.0,180543.0
0.0273,61,0.0102,0.0328,0.9985,3747244.0,180543.0
0.0273,62,0.0103,0.0323,0.9985,3755818.0,180543.0
0.0273,63,0.0105,0.0317,0.9985,3974388.0,180543.0
0.0275,64,0.0107,0.0312,0.9985,4008035.0,180543.0
0.0278,65,0.0108,0.0308,0.9985,4037941.0,180543.0
0.0279,66,0.011,0.0303,0.9985,4050392.0,180543.0
0.0279,67,0.0112,0.0299,0.9985,4099121.0,180543.0
0.028,68,0.0113,0.0294,0.9985,4211239.0,180543.0
0.0281,69,0.0115,0.029,0.9985,4238328.0,180543.0
0.0283,70,0.0117,0.0286,0.9985,4273539.0,180543.0
0.0284,71,0.0118,0.0282,0.9985,4282622.0,180543.0
0.0285,72,0.012,0.0278,0.9985,4321105.0,180543.0
0.0285,73,0.0122,0.0274,0.9985,4354183.0,180543.0
0.0285,74,0.0123,0.027,0.9985,4498613.0,180543.0
0.0287,75,0.0125,0.0267,0.9985,4513502.0,180543.0
0.0288,76,0.0127,0.0263,0.9985,4565581.0,180543.0
